Team_Line,Players
vancouver-canucks_Defensive Pairing 3,"['Derek Forbort', 'Vincent Desharnais']"
vancouver-canucks_Powerplay,"['Brock Boeser', 'Elias Pettersson', 'Jake DeBrusk', 'J.T. Miller', 'Quinn Hughes']"
chicago-blackhawks_Line 1,"['Teuvo Teravainen', 'Connor Bedard', 'Tyler Bertuzzi']"
chicago-blackhawks_Line 2,"['Taylor Hall', 'Philipp Kurashev', 'Ilya Mikheyev']"
chicago-blackhawks_Line 3,"['Nick Foligno', 'Jason Dickinson', 'Joey Anderson']"
chicago-blackhawks_Line 4,"['Pat Maroon', 'Ryan Donato', 'Craig Smith']"
chicago-blackhawks_Defensive Pairing 1,"['Alec Martinez', 'Seth Jones']"
chicago-blackhawks_Defensive Pairing 2,"['Alex Vlasic', 'T.J. Brodie']"
chicago-blackhawks_Defensive Pairing 3,"['Wyatt Kaiser', 'Connor Murphy']"
chicago-blackhawks_Powerplay,"['Tyler Bertuzzi', 'Philipp Kurashev', 'Taylor Hall', 'Connor Bedard', 'Seth Jones']"
san-jose-sharks_Line 1,"['William Eklund', 'Macklin Celebrini', 'Tyler Toffoli']"
san-jose-sharks_Line 2,"['Mikael Granlund', 'Will Smith', 'Fabian Zetterlund']"
san-jose-sharks_Line 3,"['Klim Kostin', 'Alex Wennberg', 'Luke Kunin']"
san-jose-sharks_Line 4,"['Barclay Goodrow', 'Nico Sturm', 'Ty Dellandrea']"
san-jose-sharks_Defensive Pairing 1,"['Mario Ferraro', 'Matt Benning']"
san-jose-sharks_Defensive Pairing 2,"['Jake Walman', 'Cody Ceci']"
san-jose-sharks_Defensive Pairing 3,"['Henry Thrun', 'Jan Rutta']"
san-jose-sharks_Powerplay,"['Tyler Toffoli', 'Mikael Granlund', 'Fabian Zetterlund', 'Jake Walman', 'Macklin Celebrini']"
columbus-blue-jackets_Line 1,"['Boone Jenner', 'Sean Monahan', 'Kirill Marchenko']"
columbus-blue-jackets_Line 2,"['James van Riemsdyk', 'Adam Fantilli', 'Kent Johnson']"
columbus-blue-jackets_Line 3,"['James Malatesta', 'Cole Sillinger', 'Yegor Chinakhov']"
columbus-blue-jackets_Line 4,"['Mikael Pyyhtia', 'Sean Kuraly', 'Mathieu Olivier']"
columbus-blue-jackets_Defensive Pairing 1,"['Zach Werenski', 'Ivan Provorov']"
columbus-blue-jackets_Defensive Pairing 2,"['Jake Christiansen', 'Damon Severson']"
columbus-blue-jackets_Defensive Pairing 3,"['Jack Johnson', 'David Jiricek']"
columbus-blue-jackets_Powerplay,"['Boone Jenner', 'Sean Monahan', 'Adam Fantilli', 'Kirill Marchenko', 'Zach Werenski']"
utah-hockey-club_Line 1,"['Clayton Keller', 'Barrett Hayton', 'Nick Schmaltz']"
utah-hockey-club_Line 2,"['Jack McBain', 'Logan Cooley', 'Dylan Guenther']"
utah-hockey-club_Line 3,"['Lawson Crouse', 'Alex Kerfoot', 'Matias Maccelli']"
utah-hockey-club_Line 4,"['Michael Carcone', 'Kevin Stenlund', 'Josh Doan']"
utah-hockey-club_Defensive Pairing 1,"['Mikhail Sergachev', 'Juuso Valimaki']"
utah-hockey-club_Defensive Pairing 2,"['Ian Cole', 'Sean Durzi']"
utah-hockey-club_Defensive Pairing 3,"['Vladislav Kolyachonok', 'Michael Kesselring']"
utah-hockey-club_Powerplay,"['Nick Schmaltz', 'Barrett Hayton', 'Dylan Guenther', 'Mikhail Sergachev', 'Clayton Keller']"
